ac105429.1,274
snhg12,275
ac245033.4,276
ac068580.1,277
al359091.3,278
ac010186.3,279
ac112220.2,280
ac008750.5,281
al021707.1,282
ac084824.4,283
ptges2-as1,284
ac023043.4,285
linc01778,286
al356481.1,287
ac004832.5,288
al162274.3,289
ac245041.1,290
ac109597.2,291
linc01270,292
linc01111,293
nckap5-it1,294
gsn-as1,295
znf528-as1,296
al138781.1,297
al355336.1,298
ac008736.1,299
linc01623,300
ac022079.1,301
ac023355.1,302
al590666.2,303
ac011825.4,304
al627309.5,305
ac021683.3,306
aptr,307
linc00355,308
pcat5,309
z95114.4,310
tm4sf19-as1,311
ac021739.2,312
al136295.2,313
ac079305.1,314
ac009948.3,315
ap001486.2,316
ac145207.7,317
al135925.1,318
ac104793.1,319
tmem132d-as1,320
ac079226.2,321
ac117386.2,322
al390729.1,323
klhl7-as1,324
linc00266-1,325
spaca6p-as,326
ac012313.3,327
al132639.2,328
ac092368.3,329
linc01815,330
ac012313.6,331
ac023632.6,332
al603840.1,333
linc01394,334
linc00704,335
linc01876,336
dlgap1-as4,337
ac018761.1,338
z84723.1,339
linc02389,340
ac005034.3,341
flvcr1-as1,342
ramp2-as1,343
ac009086.3,344
hcg18,345
linc01204,346
ap006621.5,347
linc00858,348
muc20-ot1,349
ac009404.1,350
genename,351
al355310.1,352
cyyr1-as1,353
ap000679.1,354
ac078882.1,355
linc01018,356
ac105219.1,357
tmem51-as1,358
znf252p-as1,359
zswim8-as1,360
ac134407.2,361
snhg16,362
ovch1-as1,363
ac016747.1,364
al662791.1,365
ac011447.7,366
ap003392.5,367
ac025171.1,368
ac097468.3,369
zfpm2-as1,370
ac127070.4,371
slfnl1-as1,372
ac135050.3,373
linc02434,374
ac005562.1,375
cxxc4-as1,376
tmem202-as1,377
ac079062.1,378
adpgk-as1,379
ac026401.3,380
pitpna-as1,381
ac091182.1,382
ac079331.1,383
al137784.2,384
ac106739.1,385
ac007608.1,386
al360181.2,387
ervk13-1,388
al356488.2,389
ac127496.7,390
ac104113.1,391
ac010442.1,392
ac067852.3,393
al157414.3,394
ac011603.2,395
st3gal6-as1,396
ap006248.3,397
al137127.1,398
al035071.1,399
ac012676.1,400
ac093157.1,401
meg8,402
ac011447.3,403
aff2-it1,404
ac009145.4,405
al162171.3,406
hottip,407
linc01448,408
al359636.2,409
linc00926,410
ac012123.1,411
al596325.2,412
gnas-as1,413
tex26-as1,414
al604028.1,415
lbx1-as1,416
al136537.2,417
ac006252.1,418
ac079117.1,419
al096817.1,420
ap001432.1,421
sox2,422
zeb2,423
linc02328,424
ac011978.2,425
wwtr1-it1,426
ac004877.1,427
al031009.1,428
satb1-as1,429
stk4-as1,430
al161772.1,431
z93022.1,432
c15orf56,433
linc00115,434
linc02421,435
linc02532,436
ac099804.1,437
ac117382.2,438
linc00161,439
linc01091,440
linc01232,441
linc01842,442
linc01499,443
al121578.3,444
ac074183.1,445
ac022929.2,446
linc01518,447
ac009065.3,448
z98884.2,449
ac048341.2,450
psmd6-as1,451
linc00452,452
lipe-as1,453
ac069224.1,454
linc01102,455
ndufa6-as1,456
ac004466.2,457
ac233728.1,458
igf2-as,459
ac008074.1,460
ac022167.2,461
al049712.1,462
ac005578.1,463
pcdh9-as2,464
ac074183.2,465
usp2-as1,466
al157911.1,467
bx088651.4,468
cllu1,469
linc01806,470
linc01391,471
ac015909.3,472
ac016590.1,473
ac144652.1,474
mirlet7dhg,475
al133215.2,476
ac084876.2,477
ac022211.1,478
al132796.2,479
ac044784.1,480
ac121757.1,481
gata3-as1,482
ac022075.2,483
al121583.1,484
ap005432.1,485
ac125437.2,486
casc15,487
ac008957.3,488
linc01743,489
ac123912.4,490
ac005520.2,491
ac120053.1,492
bancr,493
ac006330.1,494
z95114.1,495
ac096887.2,496
linc00242,497
linc00346,498
linc00896,499
ap003486.1,500
linc02384,501
ac093462.1,502
al606491.1,503
linc02242,504
ac146944.4,505
al117336.3,506
fam160a1-dt,507
linc01515,508
ac005921.3,509
ac022960.2,510
al392089.1,511
ac002044.1,512
al157778.1,513
ac092653.1,514
al162311.3,515
linc01592,516
ac007402.1,517
ankrd10-it1,518
ac098828.2,519
linc00265,520
al031595.3,521
al035420.2,522
ap001496.2,523
linc02436,524
ac024132.1,525
linc01514,526
ac004947.1,527
al442663.3,528
ac007663.3,529
c5orf66-as1,530
ac112504.1,531
al139125.2,532
btg3-as1,533
al732314.6,534
ac106795.5,535
ac244517.8,536
uca1,537
ap003027.1,538
linc00324,539
arhgef26-as1,540
al590705.5,541
ac068724.3,542
ac005863.1,543
ac016825.1,544
ac079466.1,545
snhg7,546
al133243.2,547
ac009948.1,548
ap000553.1,549
ac004000.1,550
al117381.1,551
ac018558.1,552
ap001273.1,553
ac240565.2,554
al078612.2,555
ac120049.1,556
stard13-it1,557
polr2j4,558
ac138207.4,559
ac008115.4,560
linc00662,561
ac009133.2,562
linc02456,563
c17orf82,564
linc01857,565
linc00472,566
linc01963,567
al357140.2,568
ac109460.3,569
ac010654.1,570
al590787.1,571
al109659.2,572
ac055811.4,573
hecw1-it1,574
ap000864.1,575
ac084033.3,576
ac007496.3,577
ac136618.1,578
llph-as1,579
tug1,580
ac008267.5,581
ac116353.4,582
ac015845.2,583
rp11-277l2.3,584
ac012615.6,585
ac092120.1,586
linc01023,587
al590783.1,588
al356055.1,589
linc00960,590
ac119403.1,591
mir3936hg,592
dars-as1,593
ac068512.1,594
al158055.1,595
ac087623.4,596
tex41,597
ac122688.3,598
ac243836.1,599
ac022306.3,600
linc01132,601
ap001453.4,602
ac013460.1,603
ac034243.1,604
slc26a4-as1,605
ac026356.2,606
ac105285.1,607
ac009061.2,608
fam66e,609
mir503hg,610
ac016727.1,611
tspoap1-as1,612
ac080129.1,613
xist,614
ac091047.1,615
fam198b-as1,616
al031282.2,617
ac003992.1,618
ac005899.3,619
slc8a1-as1,620
ac073862.5,621
entpd3-as1,622
ac253536.3,623
af127936.2,624
linc02267,625
rora-as1,626
snhg14,627
al138724.1,628
al132656.4,629
ash1l-as1,630
ac016205.1,631
ac008687.2,632
ac025178.1,633
al133387.2,634
msc-as1,635
ac110597.1,636
ac091729.3,637
al137058.2,638
al353608.3,639
tmem9b-as1,640
al355834.1,641
ac099509.1,642
heih,643
al359094.1,644
ap001347.1,645
ctd-2132n18.4,646
al450326.1,647
al512506.1,648
al356414.1,649
al353801.3,650
ac116049.2,651
ap006284.1,652
slc9a3-as1,653
arhgap11b,654
linc01915,655
ac048380.2,656
ac100826.1,657
ac020891.2,658
trpm2-as,659
casc8,660
ac011476.2,661
ac092919.2,662
al513534.1,663
ac006449.6,664
psmg3-as1,665
linc02026,666
pcat19,667
nck1-as1,668
al096678.1,669
ac007620.2,670
ac092117.1,671
ac244453.2,672
al031123.2,673
ac009303.4,674
ac007262.2,675
ac011095.1,676
snhg6,677
itpr1-as1,678
snhg21,679
ac009237.14,680
al929236.1,681
falec,682
ac104596.1,683
ac010894.2,684
al512328.1,685
pwar6,686
oip5-as1,687
ac005899.8,688
al139327.2,689
al137186.1,690
ac080013.6,691
ac097478.1,692
ac055716.3,693
af127577.4,694
ac124312.5,695
al354696.2,696
al355987.2,697
ac016831.7,698
mir3150bhg,699
ac093702.1,700
ac010719.1,701
ac004233.3,702
pcbp2-ot1,703
al356309.3,704
hcg17,705
ap000866.1,706
ac117503.3,707
al662884.3,708
chrm3-as2,709
al645608.6,710
ac011478.1,711
ac083843.4,712
linc01170,713
ac145422.1,714
linc01811,715
ac128688.2,716
hoxc-as3,717
ac079612.1,718
extl3-as1,719
eml2-as1,720
ac020658.7,721
ac055713.1,722
linc02388,723
ac159540.1,724
linc01764,725
ac048380.1,726
ac006333.2,727
ac079331.2,728
ac118344.2,729
ac012485.1,730
al360219.1,731
ac024940.6,732
ac012181.2,733
al135791.1,734
ap003559.1,735
al049543.1,736
usp27x-as1,737
ac104162.2,738
al390195.1,739
ac002044.2,740
al049629.1,741
ac106799.3,742
linc00210,743
ac073569.3,744
ac020612.3,745
trpc7-as2,746
linc00293,747
urb1-as1,748
ac096992.2,749
al391001.1,750
ac083843.3,751
thap9-as1,752
ac068418.2,753
ac090510.2,754
al359697.1,755
linc01578,756
linc02150,757
ac090607.5,758
al137804.1,759
al645608.8,760
ac007066.2,761
sucla2-as1,762
ac015849.1,763
ac083836.1,764
linc01258,765
al022322.2,766
ac008543.1,767
ac093274.1,768
al138713.1,769
ac091167.5,770
al390955.2,771
ac108002.1,772
ac133561.2,773
linc00608,774
linc02139,775
mbnl1-as1,776
rp11-782c8.1,777
ac016355.1,778
ac103853.2,779
linc02086,780
ac093484.4,781
al451064.2,782
ac087164.1,783
al590399.1,784
ac004477.3,785
alg13-as1,786
ac004540.2,787
ap000437.1,788
al357033.2,789
ac025287.1,790
al645608.5,791
satb2-as1,792
ac011933.2,793
gacat2,794
ac004801.6,795
al135746.1,796
ac020658.3,797
ac011450.1,798
ac005609.1,799
al118516.1,800
ac010226.1,801
ac105219.2,802
ac018521.2,803
linc01759,804
ap000317.2,805
ac084036.1,806
af111169.1,807
ac005779.1,808
ac018553.1,809
nutm2b-as1,810
ac009133.5,811
al008638.3,812
linc01825,813
linc00668,814
ac006329.1,815
ac025164.1,816
adirf-as1,817
al590666.1,818
linc02012,819
ac015799.1,820
grk5-it1,821
al365356.1,822
iba57-as1,823
agap2-as1,824
ac004835.1,825
ac087257.1,826
ac104986.2,827
dleu1,828
pced1b-as1,829
ac074135.1,830
al353746.1,831
al354920.1,832
casc11,833
al355488.1,834
ac093484.1,835
kcnmb2-as1,836
ac012615.1,837
al355816.2,838
ghrlos,839
lifr-as1,840
ac027237.3,841
al034428.1,842
ac015819.2,843
al122035.2,844
linc02418,845
hexdc-it1,846
ac016876.2,847
bx005266.2,848
f11-as1,849
ac005696.2,850
rp11-382b18.4,851
ac073335.2,852
al358472.2,853
ac005532.1,854
lrrc75a-as1,855
z94721.2,856
linc00461,857
ac027279.1,858
bx323046.1,859
colca1,860
linc02396,861
ac009812.1,862
linc00894,863
snhg10,864
ac215522.2,865
al021707.2,866
fam201a,867
tp73-as1,868
poc1b-as1,869
ac016747.3,870
linc01588,871
ac104472.1,872
linc01492,873
al450992.1,874
ac073050.1,875
al513327.3,876
linc01184,877
ac021755.2,878
ac131649.2,879
arap1-as1,880
mcm3ap-as1,881
al137060.1,882
linc00652,883
zeb1-as1,884
ac105150.1,885
linc01121,886
gas6-as1,887
al365436.2,888
ac138969.3,889
tmem147-as1,890
ac112722.1,891
ap002387.2,892
cyp1b1-as1,893
klf3-as1,894
linc01343,895
al691482.3,896
ac142086.1,897
al359198.1,898
ac011462.3,899
ac005606.2,900
ac009041.2,901
al118505.1,902
ac097717.1,903
al049781.1,904
ac015660.3,905
casc19,906
ac091948.1,907
linc02292,908
ac019117.2,909
ac063965.1,910
ac139256.2,911
ac010531.4,912
linc00261,913
ac018413.1,914
al513329.1,915
fzd10-as1,916
al359265.3,917
ac105036.3,918
ac007431.3,919
asmtl-as1,920
pax8-as1,921
ac120057.4,922
al354993.2,923
ac099522.2,924
ac009318.1,925
al135905.1,926
ac103770.1,927
al591368.1,928
dlgap1-as5,929
al671710.1,930
ap000526.1,931
tcl6,932
entpd1-as1,933
ac113383.1,934
pla2g4e-as1,935
ac138035.1,936
foxd3-as1,937
al133453.1,938
kctd21-as1,939
ac006111.2,940
srgap2c,941
ap000866.2,942
ap003733.4,943
ac097461.1,944
znf674-as1,945
al162390.1,946
ac243960.1,947
linc01194,948
ac093520.1,949
arrdc3-as1,950
rfpl1s,951
ac024475.4,952
ac107214.1,953
ac159540.2,954
al035425.3,955
ac020661.1,956
al137145.2,957
ac005911.1,958
rp11-219c20.3,959
ac092168.2,960
ac011503.2,961
ac009686.2,962
al158207.2,963
ac004160.1,964
ac006013.1,965
al391069.2,966
ac012513.3,967
dgcr11,968
ac129502.1,969
ac005005.4,970
fbxl19-as1,971
ac090386.2,972
ac009097.2,973
al110115.2,974
mir3142hg,975
ac104581.4,976
ac011477.2,977
ac100861.1,978
al117332.1,979
ac112206.2,980
aj271736.1,981
c1orf143,982
linc02064,983
ttty15,984
ac069278.4,985
znf609,986
ac068790.2,987
ac009133.1,988
ac108488.1,989
ac018647.2,990
ac105101.1,991
luadt1,992
tob1-as1,993
ap005482.3,994
linc00879,995
ac012370.1,996
ac124068.2,997
linc01252,998
ac092354.2,999
ac068870.3,1000
dleu2,1001
ac015912.3,1002
hif1a-as2,1003
linc02245,1004
linc02104,1005
