pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0022962	MIMAT0028119	hsa-miR-7111-5p	MIMAT0028120	hsa-miR-7111-3p
MI0017327	MIMAT0019786	hsa-miR-4694-5p	MIMAT0019787	hsa-miR-4694-3p
MI0022214	MIMAT0025460	hsa-miR-6502-5p	MIMAT0025461	hsa-miR-6502-3p
MI0017372	MIMAT0019860	hsa-miR-4735-5p	MIMAT0019861	hsa-miR-4735-3p
MI0022633	MIMAT0027476	hsa-miR-6788-5p	MIMAT0027477	hsa-miR-6788-3p
MI0019148	MIMAT0022297	hsa-miR-5589-5p	MIMAT0022298	hsa-miR-5589-3p
MI0000473	MIMAT0000242	hsa-miR-129-5p	MIMAT0004605	hsa-miR-129-2-3p
MI0016065	MIMAT0018086	hsa-miR-3664-5p	MIMAT0019220	hsa-miR-3664-3p
MI0017312	MIMAT0019764	hsa-miR-4680-5p	MIMAT0019765	hsa-miR-4680-3p
MI0017398	MIMAT0019901	hsa-miR-4757-5p	MIMAT0019902	hsa-miR-4757-3p
MI0003139	MIMAT0002821	hsa-miR-181d-5p	MIMAT0026608	hsa-miR-181d-3p
MI0000784	MIMAT0003386	hsa-miR-376a-5p	MIMAT0000729	hsa-miR-376a-3p
MI0003674	MIMAT0003328	hsa-miR-653-5p	MIMAT0026625	hsa-miR-653-3p
MI0016773	MIMAT0020956	hsa-miR-4433a-5p	MIMAT0018949	hsa-miR-4433a-3p
MI0000450	MIMAT0026478	hsa-miR-133a-5p	MIMAT0000427	hsa-miR-133a-3p
MI0017446	MIMAT0019976	hsa-miR-4799-5p	MIMAT0019977	hsa-miR-4799-3p
MI0016686	MIMAT0022737	hsa-miR-550b-2-5p	MIMAT0018445	hsa-miR-550b-3p
MI0016886	MIMAT0019235	hsa-miR-4520-5p	MIMAT0019057	hsa-miR-4520-3p
MI0014177	MIMAT0019206	hsa-miR-3150a-5p	MIMAT0015023	hsa-miR-3150a-3p
MI0003586	MIMAT0026616	hsa-miR-579-5p	MIMAT0003244	hsa-miR-579-3p
MI0017444	MIMAT0019972	hsa-miR-4797-5p	MIMAT0019973	hsa-miR-4797-3p
MI0017878	MIMAT0021043	hsa-miR-5010-5p	MIMAT0021044	hsa-miR-5010-3p
MI0003600	MIMAT0004800	hsa-miR-550a-5p	MIMAT0003257	hsa-miR-550a-3p
MI0005531	MIMAT0004909	hsa-miR-450b-5p	MIMAT0004910	hsa-miR-450b-3p
MI0003676	MIMAT0003330	hsa-miR-654-5p	MIMAT0004814	hsa-miR-654-3p
MI0000234	MIMAT0000222	hsa-miR-192-5p	MIMAT0004543	hsa-miR-192-3p
MI0000786	MIMAT0000731	hsa-miR-378a-5p	MIMAT0000732	hsa-miR-378a-3p
MI0005539	MIMAT0004919	hsa-miR-541-5p	MIMAT0004920	hsa-miR-541-3p
MI0014230	MIMAT0015030	hsa-miR-3156-5p	MIMAT0019209	hsa-miR-3156-3p
MI0026420	MIMAT0027618	hsa-miR-6859-5p	MIMAT0027619	hsa-miR-6859-3p
MI0000107	MIMAT0004515	hsa-miR-29b-2-5p	MIMAT0000100	hsa-miR-29b-3p
MI0006382	MIMAT0005899	hsa-miR-1247-5p	MIMAT0022721	hsa-miR-1247-3p
MI0016684	MIMAT0018443	hsa-miR-374c-5p	MIMAT0022735	hsa-miR-374c-3p
MI0039501	MIMAT0048637	hsa-miR-6529-5p	MIMAT0048638	hsa-miR-6529-3p
MI0003157	MIMAT0002845	hsa-miR-526a-5p	MIMAT0037326	hsa-miR-526a-3p
MI0000272	MIMAT0000259	hsa-miR-182-5p	MIMAT0000260	hsa-miR-182-3p
MI0000089	MIMAT0000089	hsa-miR-31-5p	MIMAT0004504	hsa-miR-31-3p
MI0000081	MIMAT0004497	hsa-miR-24-2-5p	MIMAT0000080	hsa-miR-24-3p
MI0000650	MIMAT0004657	hsa-miR-200c-5p	MIMAT0000617	hsa-miR-200c-3p
MI0019132	MIMAT0022267	hsa-miR-548as-5p	MIMAT0022268	hsa-miR-548as-3p
MI0017364	MIMAT0019847	hsa-miR-4727-5p	MIMAT0019848	hsa-miR-4727-3p
MI0019140	MIMAT0022281	hsa-miR-5583-5p	MIMAT0022282	hsa-miR-5583-3p
MI0014164	MIMAT0015009	hsa-miR-548t-5p	MIMAT0022730	hsa-miR-548t-3p
MI0018174	MIMAT0021126	hsa-miR-5195-5p	MIMAT0021127	hsa-miR-5195-3p
