pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0003170	MIMAT0005457	hsa-miR-518a-5p	MIMAT0002863	hsa-miR-518a-3p
MI0022624	MIMAT0027458	hsa-miR-6779-5p	MIMAT0027459	hsa-miR-6779-3p
MI0022695	MIMAT0027598	hsa-miR-6849-5p	MIMAT0027599	hsa-miR-6849-3p
MI0022963	MIMAT0028121	hsa-miR-7112-5p	MIMAT0028122	hsa-miR-7112-3p
MI0000061	MIMAT0000062	hsa-let-7a-5p	MIMAT0010195	hsa-let-7a-2-3p
MI0000069	MIMAT0000068	hsa-miR-15a-5p	MIMAT0004488	hsa-miR-15a-3p
MI0022549	MIMAT0025842	hsa-miR-6715b-5p	MIMAT0025843	hsa-miR-6715b-3p
MI0022614	MIMAT0027438	hsa-miR-6769a-5p	MIMAT0027439	hsa-miR-6769a-3p
MI0017350	MIMAT0019826	hsa-miR-4716-5p	MIMAT0019827	hsa-miR-4716-3p
MI0005570	MIMAT0026722	hsa-miR-208b-5p	MIMAT0004960	hsa-miR-208b-3p
MI0000477	MIMAT0000449	hsa-miR-146a-5p	MIMAT0004608	hsa-miR-146a-3p
MI0003763	MIMAT0003882	hsa-miR-767-5p	MIMAT0003883	hsa-miR-767-3p
MI0022637	MIMAT0027484	hsa-miR-6792-5p	MIMAT0027485	hsa-miR-6792-3p
MI0025511	MIMAT0030413	hsa-miR-4433b-5p	MIMAT0030414	hsa-miR-4433b-3p
MI0017427	MIMAT0019944	hsa-miR-4782-5p	MIMAT0019945	hsa-miR-4782-3p
MI0019142	MIMAT0022285	hsa-miR-5585-5p	MIMAT0022286	hsa-miR-5585-3p
MI0003638	MIMAT0003293	hsa-miR-624-5p	MIMAT0004807	hsa-miR-624-3p
MI0005416	MIMAT0004284	hsa-miR-675-5p	MIMAT0006790	hsa-miR-675-3p
MI0017392	MIMAT0019890	hsa-miR-4753-5p	MIMAT0019891	hsa-miR-4753-3p
MI0000785	MIMAT0004689	hsa-miR-377-5p	MIMAT0000730	hsa-miR-377-3p
MI0003675	MIMAT0003329	hsa-miR-411-5p	MIMAT0004813	hsa-miR-411-3p
MI0014192	MIMAT0015036	hsa-miR-3162-5p	MIMAT0019213	hsa-miR-3162-3p
MI0011282	MIMAT0026921	hsa-miR-2276-5p	MIMAT0011775	hsa-miR-2276-3p
MI0014189	MIMAT0019212	hsa-miR-3160-5p	MIMAT0015034	hsa-miR-3160-3p
MI0017417	MIMAT0019929	hsa-miR-4774-5p	MIMAT0019930	hsa-miR-4774-3p
MI0014181	MIMAT0019208	hsa-miR-3074-5p	MIMAT0015027	hsa-miR-3074-3p
MI0016090	MIMAT0018117	hsa-miR-3689a-5p	MIMAT0018118	hsa-miR-3689a-3p
MI0017381	MIMAT0019874	hsa-miR-4743-5p	MIMAT0022978	hsa-miR-4743-3p
MI0017328	MIMAT0019788	hsa-miR-4695-5p	MIMAT0019789	hsa-miR-4695-3p
MI0017389	MIMAT0019887	hsa-miR-4750-5p	MIMAT0022979	hsa-miR-4750-3p
MI0017434	MIMAT0019956	hsa-miR-4787-5p	MIMAT0019957	hsa-miR-4787-3p
MI0000301	MIMAT0000281	hsa-miR-224-5p	MIMAT0009198	hsa-miR-224-3p
MI0005541	MIMAT0004922	hsa-miR-875-5p	MIMAT0004923	hsa-miR-875-3p
MI0016064	MIMAT0018084	hsa-miR-3663-5p	MIMAT0018085	hsa-miR-3663-3p
MI0022680	MIMAT0027570	hsa-miR-6835-5p	MIMAT0027571	hsa-miR-6835-3p
MI0000098	MIMAT0000095	hsa-miR-96-5p	MIMAT0004510	hsa-miR-96-3p
MI0000461	MIMAT0000437	hsa-miR-145-5p	MIMAT0004601	hsa-miR-145-3p
MI0000469	MIMAT0000443	hsa-miR-125a-5p	MIMAT0004602	hsa-miR-125a-3p
MI0022729	MIMAT0027664	hsa-miR-6882-5p	MIMAT0027665	hsa-miR-6882-3p
MI0022721	MIMAT0027648	hsa-miR-6874-5p	MIMAT0027649	hsa-miR-6874-3p
MI0017436	MIMAT0019959	hsa-miR-4789-5p	MIMAT0019960	hsa-miR-4789-3p
MI0022703	MIMAT0027614	hsa-miR-6857-5p	MIMAT0027615	hsa-miR-6857-3p
MI0000077	MIMAT0000076	hsa-miR-21-5p	MIMAT0004494	hsa-miR-21-3p
MI0003141	MIMAT0002822	hsa-miR-512-5p	MIMAT0002823	hsa-miR-512-3p
MI0003149	MIMAT0002833	hsa-miR-520a-5p	MIMAT0002834	hsa-miR-520a-3p
MI0016685	MIMAT0022736	hsa-miR-642b-5p	MIMAT0018444	hsa-miR-642b-3p
MI0006311	MIMAT0005572	hsa-miR-1225-5p	MIMAT0005573	hsa-miR-1225-3p
MI0022643	MIMAT0027496	hsa-miR-6798-5p	MIMAT0027497	hsa-miR-6798-3p
MI0003642	MIMAT0004809	hsa-miR-628-5p	MIMAT0003297	hsa-miR-628-3p
MI0019138	MIMAT0022279	hsa-miR-5582-5p	MIMAT0022280	hsa-miR-5582-3p
MI0017445	MIMAT0019974	hsa-miR-4798-5p	MIMAT0019975	hsa-miR-4798-3p
MI0006319	MIMAT0022942	hsa-miR-1229-5p	MIMAT0005584	hsa-miR-1229-3p
MI0022719	MIMAT0027644	hsa-miR-6872-5p	MIMAT0027645	hsa-miR-6872-3p
MI0022711	MIMAT0027628	hsa-miR-6864-5p	MIMAT0027629	hsa-miR-6864-3p
MI0017273	MIMAT0019707	hsa-miR-4646-5p	MIMAT0019708	hsa-miR-4646-3p
MI0017877	MIMAT0021041	hsa-miR-5009-5p	MIMAT0021042	hsa-miR-5009-3p
MI0008333	MIMAT0037333	hsa-miR-1912-5p	MIMAT0007887	hsa-miR-1912-3p
MI0006371	MIMAT0005892	hsa-miR-1304-5p	MIMAT0022720	hsa-miR-1304-3p
MI0003186	MIMAT0002873	hsa-miR-502-5p	MIMAT0004775	hsa-miR-502-3p
MI0000292	MIMAT0000273	hsa-miR-216a-5p	MIMAT0022844	hsa-miR-216a-3p
MI0000108	MIMAT0009196	hsa-miR-103a-2-5p	MIMAT0000101	hsa-miR-103a-3p
MI0019115	MIMAT0022257	hsa-miR-5571-5p	MIMAT0022258	hsa-miR-5571-3p
MI0000072	MIMAT0000072	hsa-miR-18a-5p	MIMAT0002891	hsa-miR-18a-3p
MI0003158	MIMAT0005455	hsa-miR-520c-5p	MIMAT0002846	hsa-miR-520c-3p
MI0014144	MIMAT0014990	hsa-miR-3127-5p	MIMAT0019201	hsa-miR-3127-3p
MI0000281	MIMAT0000231	hsa-miR-199a-5p	MIMAT0000232	hsa-miR-199a-3p
MI0000289	MIMAT0000256	hsa-miR-181a-5p	MIMAT0000270	hsa-miR-181a-3p
MI0019147	MIMAT0022295	hsa-miR-5588-5p	MIMAT0022296	hsa-miR-5588-3p
MI0014146	MIMAT0014992	hsa-miR-3129-5p	MIMAT0019202	hsa-miR-3129-3p
MI0017422	MIMAT0019936	hsa-miR-4778-5p	MIMAT0019937	hsa-miR-4778-3p
MI0017346	MIMAT0019818	hsa-miR-4712-5p	MIMAT0019819	hsa-miR-4712-3p
MI0010633	MIMAT0011156	hsa-miR-2114-5p	MIMAT0011157	hsa-miR-2114-3p
MI0003557	MIMAT0026615	hsa-miR-552-5p	MIMAT0003215	hsa-miR-552-3p
MI0022215	MIMAT0025462	hsa-miR-6503-5p	MIMAT0025463	hsa-miR-6503-3p
MI0000739	MIMAT0037312	hsa-miR-101-2-5p	MIMAT0000099	hsa-miR-101-3p
MI0017397	MIMAT0019899	hsa-miR-4756-5p	MIMAT0019900	hsa-miR-4756-3p
MI0003184	MIMAT0004773	hsa-miR-500a-5p	MIMAT0002871	hsa-miR-500a-3p
MI0005767	MIMAT0004985	hsa-miR-942-5p	MIMAT0026734	hsa-miR-942-3p
MI0003815	MIMAT0026639	hsa-miR-1301-5p	MIMAT0005797	hsa-miR-1301-3p
MI0022225	MIMAT0025482	hsa-miR-6513-5p	MIMAT0025483	hsa-miR-6513-3p
MI0014178	MIMAT0015024	hsa-miR-3151-5p	MIMAT0027026	hsa-miR-3151-3p
MI0001735	MIMAT0001638	hsa-miR-409-5p	MIMAT0001639	hsa-miR-409-3p
MI0018168	MIMAT0021120	hsa-miR-5189-5p	MIMAT0027088	hsa-miR-5189-3p
MI0017378	MIMAT0019869	hsa-miR-4740-5p	MIMAT0019870	hsa-miR-4740-3p
MI0003173	MIMAT0005457	hsa-miR-518a-5p	MIMAT0002863	hsa-miR-518a-3p
MI0014237	MIMAT0015076	hsa-miR-3192-5p	MIMAT0027027	hsa-miR-3192-3p
MI0014214	MIMAT0015057	hsa-miR-3180-5p	MIMAT0015058	hsa-miR-3180-3p
MI0022679	MIMAT0027568	hsa-miR-6834-5p	MIMAT0027569	hsa-miR-6834-3p
MI0000439	MIMAT0004587	hsa-miR-23b-5p	MIMAT0000418	hsa-miR-23b-3p
MI0001446	MIMAT0001341	hsa-miR-424-5p	MIMAT0004749	hsa-miR-424-3p
MI0022671	MIMAT0027552	hsa-miR-6826-5p	MIMAT0027553	hsa-miR-6826-3p
MI0000100	MIMAT0000096	hsa-miR-98-5p	MIMAT0022842	hsa-miR-98-3p
MI0003150	MIMAT0002835	hsa-miR-526b-5p	MIMAT0002836	hsa-miR-526b-3p
MI0001519	MIMAT0001413	hsa-miR-20b-5p	MIMAT0004752	hsa-miR-20b-3p
MI0023431	MIMAT0025847	hsa-miR-6511b-5p	MIMAT0025848	hsa-miR-6511b-3p
MI0003760	MIMAT0003880	hsa-miR-671-5p	MIMAT0004819	hsa-miR-671-3p
MI0033419	MIMAT0041621	hsa-miR-10395-5p	MIMAT0041622	hsa-miR-10395-3p
MI0022592	MIMAT0027394	hsa-miR-6747-5p	MIMAT0027395	hsa-miR-6747-3p
MI0014226	MIMAT0015064	hsa-miR-3184-5p	MIMAT0022731	hsa-miR-3184-3p
MI0017866	MIMAT0021019	hsa-miR-5000-5p	MIMAT0021020	hsa-miR-5000-3p
MI0003668	MIMAT0004812	hsa-miR-548d-5p	MIMAT0003323	hsa-miR-548d-3p
MI0020340	MIMAT0031119	hsa-miR-1199-5p	MIMAT0031120	hsa-miR-1199-3p
MI0022589	MIMAT0027389	hsa-miR-6744-5p	MIMAT0027390	hsa-miR-6744-3p
MI0002465	MIMAT0026558	hsa-miR-410-5p	MIMAT0002171	hsa-miR-410-3p
MI0000457	MIMAT0004598	hsa-miR-141-5p	MIMAT0000432	hsa-miR-141-3p
MI0022581	MIMAT0027373	hsa-miR-6736-5p	MIMAT0027374	hsa-miR-6736-3p
MI0022960	MIMAT0028115	hsa-miR-7109-5p	MIMAT0028116	hsa-miR-7109-3p
MI0017370	MIMAT0019857	hsa-miR-4733-5p	MIMAT0019858	hsa-miR-4733-3p
MI0006433	MIMAT0005943	hsa-miR-1292-5p	MIMAT0022948	hsa-miR-1292-3p
MI0014251	MIMAT0015087	hsa-miR-514b-5p	MIMAT0015088	hsa-miR-514b-3p
MI0014170	MIMAT0019205	hsa-miR-3145-5p	MIMAT0015016	hsa-miR-3145-3p
MI0033421	MIMAT0041625	hsa-miR-10397-5p	MIMAT0041626	hsa-miR-10397-3p
MI0003630	MIMAT0004806	hsa-miR-548c-5p	MIMAT0003285	hsa-miR-548c-3p
MI0022654	MIMAT0027518	hsa-miR-6809-5p	MIMAT0027519	hsa-miR-6809-3p
MI0016906	MIMAT0019078	hsa-miR-4536-5p	MIMAT0020959	hsa-miR-4536-3p
MI0000769	MIMAT0022833	hsa-miR-365b-5p	MIMAT0022834	hsa-miR-365b-3p
MI0022597	MIMAT0027404	hsa-miR-6752-5p	MIMAT0027405	hsa-miR-6752-3p
MI0000542	MIMAT0037311	hsa-miR-320a-5p	MIMAT0000510	hsa-miR-320a-3p
MI0000452	MIMAT0000428	hsa-miR-135a-5p	MIMAT0004595	hsa-miR-135a-3p
MI0017320	MIMAT0027038	hsa-miR-1343-5p	MIMAT0019776	hsa-miR-1343-3p
MI0002470	MIMAT0002177	hsa-miR-486-5p	MIMAT0004762	hsa-miR-486-3p
MI0000066	MIMAT0000066	hsa-let-7e-5p	MIMAT0004485	hsa-let-7e-3p
MI0017365	MIMAT0019849	hsa-miR-4728-5p	MIMAT0019850	hsa-miR-4728-3p
MI0018175	MIMAT0021128	hsa-miR-5196-5p	MIMAT0021129	hsa-miR-5196-3p
MI0022578	MIMAT0027367	hsa-miR-6733-5p	MIMAT0027368	hsa-miR-6733-3p
MI0017405	MIMAT0019914	hsa-miR-4764-5p	MIMAT0019915	hsa-miR-4764-3p
MI0003602	MIMAT0003258	hsa-miR-590-5p	MIMAT0004801	hsa-miR-590-3p
MI0022603	MIMAT0027416	hsa-miR-6758-5p	MIMAT0027417	hsa-miR-6758-3p
MI0005759	MIMAT0022938	hsa-miR-937-5p	MIMAT0004980	hsa-miR-937-3p
MI0022688	MIMAT0027586	hsa-miR-6842-5p	MIMAT0027587	hsa-miR-6842-3p
MI0000090	MIMAT0000090	hsa-miR-32-5p	MIMAT0004505	hsa-miR-32-3p
MI0000253	MIMAT0004549	hsa-miR-148a-5p	MIMAT0000243	hsa-miR-148a-3p
MI0022629	MIMAT0027468	hsa-miR-6784-5p	MIMAT0027469	hsa-miR-6784-3p
MI0022621	MIMAT0027452	hsa-miR-6776-5p	MIMAT0027453	hsa-miR-6776-3p
MI0003123	MIMAT0002804	hsa-miR-488-5p	MIMAT0004763	hsa-miR-488-3p
MI0000064	MIMAT0000064	hsa-let-7c-5p	MIMAT0026472	hsa-let-7c-3p
MI0016904	MIMAT0022740	hsa-miR-548am-5p	MIMAT0019076	hsa-miR-548am-3p
MI0022619	MIMAT0027448	hsa-miR-6774-5p	MIMAT0027449	hsa-miR-6774-3p
MI0022611	MIMAT0027432	hsa-miR-6766-5p	MIMAT0027433	hsa-miR-6766-3p
MI0000270	MIMAT0000257	hsa-miR-181b-5p	MIMAT0022692	hsa-miR-181b-3p
MI0022656	MIMAT0027522	hsa-miR-6811-5p	MIMAT0027523	hsa-miR-6811-3p
MI0019130	MIMAT0022263	hsa-miR-548aq-5p	MIMAT0022264	hsa-miR-548aq-3p
MI0003146	MIMAT0026609	hsa-miR-520f-5p	MIMAT0002830	hsa-miR-520f-3p
MI0017265	MIMAT0019695	hsa-miR-4638-5p	MIMAT0019696	hsa-miR-4638-3p
MI0003197	MIMAT0002882	hsa-miR-510-5p	MIMAT0026613	hsa-miR-510-3p
MI0022716	MIMAT0027638	hsa-miR-6869-5p	MIMAT0027639	hsa-miR-6869-3p
MI0006316	MIMAT0022941	hsa-miR-1227-5p	MIMAT0005580	hsa-miR-1227-3p
MI0000466	MIMAT0000441	hsa-miR-9-5p	MIMAT0000442	hsa-miR-9-3p
MI0014184	MIMAT0015030	hsa-miR-3156-5p	MIMAT0019209	hsa-miR-3156-3p
MI0017384	MIMAT0019878	hsa-miR-4745-5p	MIMAT0019879	hsa-miR-4745-3p
MI0003135	MIMAT0022924	hsa-miR-495-5p	MIMAT0002817	hsa-miR-495-3p
MI0000777	MIMAT0001621	hsa-miR-369-5p	MIMAT0000721	hsa-miR-369-3p
MI0006326	MIMAT0022945	hsa-miR-1236-5p	MIMAT0005591	hsa-miR-1236-3p
MI0017431	MIMAT0019950	hsa-miR-1245b-5p	MIMAT0019951	hsa-miR-1245b-3p
MI0003178	MIMAT0005452	hsa-miR-519a-5p	MIMAT0002869	hsa-miR-519a-3p
MI0005544	MIMAT0037331	hsa-miR-147b-5p	MIMAT0004928	hsa-miR-147b-3p
MI0022726	MIMAT0027658	hsa-miR-6879-5p	MIMAT0027659	hsa-miR-6879-3p
MI0006442	MIMAT0005948	hsa-miR-664a-5p	MIMAT0005949	hsa-miR-664a-3p
MI0008330	MIMAT0007882	hsa-miR-1909-5p	MIMAT0007883	hsa-miR-1909-3p
MI0017386	MIMAT0019882	hsa-miR-4747-5p	MIMAT0019883	hsa-miR-4747-3p
MI0003577	MIMAT0022707	hsa-miR-570-5p	MIMAT0003235	hsa-miR-570-3p
MI0000085	MIMAT0004501	hsa-miR-27a-5p	MIMAT0000084	hsa-miR-27a-3p
MI0000464	MIMAT0026480	hsa-miR-153-5p	MIMAT0000439	hsa-miR-153-3p
MI0014186	MIMAT0019211	hsa-miR-3158-5p	MIMAT0015032	hsa-miR-3158-3p
MI0022724	MIMAT0027654	hsa-miR-6877-5p	MIMAT0027655	hsa-miR-6877-3p
MI0006395	MIMAT0022722	hsa-miR-548g-5p	MIMAT0005912	hsa-miR-548g-3p
MI0017358	MIMAT0019235	hsa-miR-4520-5p	MIMAT0020300	hsa-miR-4520-2-3p
MI0003144	MIMAT0002826	hsa-miR-515-5p	MIMAT0002827	hsa-miR-515-3p
MI0014158	MIMAT0015003	hsa-miR-3136-5p	MIMAT0019203	hsa-miR-3136-3p
MI0022737	MIMAT0027680	hsa-miR-6890-5p	MIMAT0027681	hsa-miR-6890-3p
MI0022662	MIMAT0027534	hsa-miR-6817-5p	MIMAT0027535	hsa-miR-6817-3p
MI0012062	MIMAT0013515	hsa-miR-2681-5p	MIMAT0013516	hsa-miR-2681-3p
MI0022714	MIMAT0027634	hsa-miR-6867-5p	MIMAT0027635	hsa-miR-6867-3p
MI0006374	MIMAT0026739	hsa-miR-548f-5p	MIMAT0005895	hsa-miR-548f-3p
MI0017452	MIMAT0019984	hsa-miR-4804-5p	MIMAT0019985	hsa-miR-4804-3p
MI0022573	MIMAT0027357	hsa-miR-6728-5p	MIMAT0027358	hsa-miR-6728-3p
MI0016093	MIMAT0018121	hsa-miR-3692-5p	MIMAT0018122	hsa-miR-3692-3p
MI0016436	MIMAT0018203	hsa-miR-676-5p	MIMAT0018204	hsa-miR-676-3p
MI0000745	MIMAT0022696	hsa-miR-301a-5p	MIMAT0000688	hsa-miR-301a-3p
MI0017341	MIMAT0019809	hsa-miR-4708-5p	MIMAT0019810	hsa-miR-4708-3p
MI0022732	MIMAT0027670	hsa-miR-6885-5p	MIMAT0027671	hsa-miR-6885-3p
MI0022667	MIMAT0027544	hsa-miR-6822-5p	MIMAT0027545	hsa-miR-6822-3p
MI0017349	MIMAT0019824	hsa-miR-4715-5p	MIMAT0019825	hsa-miR-4715-3p
MI0022550	MIMAT0025844	hsa-miR-6716-5p	MIMAT0025845	hsa-miR-6716-3p
MI0000736	MIMAT0000244	hsa-miR-30c-5p	MIMAT0004674	hsa-miR-30c-1-3p
MI0000284	MIMAT0000265	hsa-miR-204-5p	MIMAT0022693	hsa-miR-204-3p
MI0000805	MIMAT0004694	hsa-miR-342-5p	MIMAT0000753	hsa-miR-342-3p
MI0017978	MIMAT0021081	hsa-miR-5089-5p	MIMAT0022984	hsa-miR-5089-3p
MI0016599	MIMAT0018358	hsa-miR-3942-5p	MIMAT0019230	hsa-miR-3942-3p
MI0022640	MIMAT0027490	hsa-miR-6795-5p	MIMAT0027491	hsa-miR-6795-3p
MI0003192	MIMAT0002877	hsa-miR-513a-5p	MIMAT0004777	hsa-miR-513a-3p
MI0000286	MIMAT0026475	hsa-miR-210-5p	MIMAT0000267	hsa-miR-210-3p
MI0000734	MIMAT0000680	hsa-miR-106b-5p	MIMAT0004672	hsa-miR-106b-3p
MI0000727	MIMAT0031095	hsa-miR-128-2-5p	MIMAT0000424	hsa-miR-128-3p
MI0022700	MIMAT0027608	hsa-miR-6854-5p	MIMAT0027609	hsa-miR-6854-3p
MI0003181	MIMAT0004770	hsa-miR-516a-5p	MIMAT0006778	hsa-miR-516a-3p
MI0003189	MIMAT0002875	hsa-miR-504-5p	MIMAT0026612	hsa-miR-504-3p
MI0016417	MIMAT0018187	hsa-miR-3913-5p	MIMAT0019225	hsa-miR-3913-3p
MI0022608	MIMAT0027426	hsa-miR-6763-5p	MIMAT0027427	hsa-miR-6763-3p
MI0022683	MIMAT0027576	hsa-miR-6837-5p	MIMAT0027577	hsa-miR-6837-3p
MI0000772	MIMAT0000714	hsa-miR-302b-5p	MIMAT0000715	hsa-miR-302b-3p
