1175,192
3133,16
1308,16
1172,192
3126,204
661,192
1093,112
936,188
1767,114
2922,112
1639,188
3501,112
2153,82
1553,82
984,114
1380,177
2220,188
908,177
2403,188
886,177
750,188
611,178
2626,178
3126,15
1238,178
426,178
553,178
3187,15
2008,15
2193,178
60,15
273,178
2494,178
1908,15
404,178
3007,15
1653,8
19,63
638,129
1877,42
2567,138
3409,115
3087,206
1346,174
136,61
236,16
206,149
1371,104
2746,79
371,105
828,23
2922,78
1631,3
371,39
1235,23
901,78
947,105
1337,23
2993,148
3126,148
672,126
1668,126
59,126
2237,126
3468,148
1439,126
812,41
2357,61
672,61
135,61
1405,41
1566,61
148,41
291,61
1942,41
1549,160
2670,64
3140,160
1897,64
2022,64
3549,134
753,64
1316,64
1647,98
3358,94
3392,160
1175,160
3151,160
540,98
1818,179
1631,179
2327,126
953,126
2682,82
3097,126
3087,126
2141,82
2258,82
3704,82
166,184
1408,184
270,184
2116,184
60,184
3531,184
3698,184
2198,184
65,203
547,86
3582,42
3369,203
1971,110
3579,157
371,168
1161,168
3333,157
953,203
1843,203
3170,157
3515,148
214,148
1951,148
2552,168
2730,138
2078,148
3608,138
2921,168
443,147
3501,38
1568,38
3103,192
2716,38
3468,38
1767,192
1371,54
3351,25
2567,23
1549,23
3171,108
529,112
1631,54
831,151
2610,159
2999,159
997,109
2730,94
98,109
3089,159
1307,159
1912,94
3671,94
3313,94
3608,94
2729,94
755,109
2881,159
901,109
3126,159
912,159
2503,159
1536,159
2367,204
1412,159
1764,204
1116,159
337,55
927,204
1647,55
3228,204
2897,55
1656,55
2806,55
3259,55
182,204
3024,55
495,55
495,204
858,191
14,10
2746,105
1427,175
2739,178
2690,94
1641,175
2739,10
66,22
1666,10
1549,92
43,94
679,186
3468,186
1379,186
3336,186
1443,186
3579,64
1017,64
2211,64
2683,64
3051,64
1490,64
2103,64
2304,64
2936,64
3141,23
1443,105
3609,23
2683,178
2598,206
3580,100
3629,100
3478,100
3609,100
2474,148
3478,148
993,159
1661,38
362,141
2593,127
1240,22
2081,15
753,141
2821,141
3608,120
2255,120
1753,120
211,120
2277,120
3729,129
847,129
3409,4
1346,129
1316,4
3112,4
2075,190
135,58
3394,58
1668,178
2721,185
901,190
639,190
3350,216
993,178
1408,44
2721,44
2041,44
2998,44
372,44
672,44
1562,44
2793,44
3409,44
2241,44
511,147
1914,147
403,207
1094,216
1568,13
2807,162
3319,207
1470,13
3090,52
582,52
1522,164
57,122
895,52
390,164
858,178
1192,212
2023,122
2881,212
3129,122
679,5
1980,5
9,61
3740,5
1631,61
2367,159
1988,5
3254,159
790,159
228,61
3561,192
372,5
1647,178
1093,27
2625,21
753,61
2193,142
1818,61
3329,94
2593,79
1336,61
3144,27
365,79
136,79
2858,27
2164,27
2190,27
2607,61
2403,79
2738,79
264,16
392,16
2703,16
1653,187
2465,213
2464,66
1365,187
2922,190
3369,147
2237,147
3336,187
2591,60
3087,58
1113,82
3313,102
1647,16
301,16
1963,20
2348,126
1988,20
1470,148
2626,20
758,148
972,20
1371,133
685,190
246,158
3041,133
753,158
2822,133
2739,158
2064,88
3036,29
1080,108
3677,183
519,108
901,183
1818,126
1536,88
2041,210
2740,108
1951,210
1345,174
3329,169
2640,60
870,60
825,60
3549,128
1549,128
2460,86
257,125
3024,129
198,125
1316,125
198,178
3112,129
1235,86
611,129
2062,62
3584,62
2241,216
3363,216
3009,62
3704,216
1026,216
1951,62
2936,28
1171,28
2730,217
3022,180
756,110
2475,180
3159,217
630,4
1175,4
858,4
214,4
3146,63
3077,62
3495,4
2763,62
1137,63
1235,4
3419,62
1408,4
2848,63
1988,184
790,184
1336,184
895,184
3069,184
2584,106
28,167
3336,174
327,178
1800,178
3568,167
3159,17
1622,106
3238,106
3640,55
2190,168
1408,168
2253,55
2460,168
2455,168
2081,168
2072,168
1024,55
485,168
2347,55
251,115
2583,115
3323,90
1800,90
1647,115
3051,90
850,115
1522,90
362,115
3677,90
1017,147
543,147
2148,147
2465,25
43,147
1113,207
3495,23
115,112
1427,23
947,100
1283,60
1661,95
2704,20
3336,23
1473,112
1498,108
206,141
2739,100
3718,11
790,183
825,80
847,53
2062,183
1240,169
2460,105
3394,105
3580,105
1718,105
3261,105
2413,105
198,105
2062,105
291,105
2190,164
815,89
128,210
1799,124
977,7
291,26
2664,75
716,39
753,21
2898,187
3013,4
123,16
2741,181
3129,152
1058,21
404,181
1015,16
1652,178
491,178
303,178
998,178
2062,178
2793,178
305,90
901,90
1809,90
756,90
1939,90
1208,63
3392,63
420,189
1116,63
306,189
2344,63
475,63
2807,189
728,189
2367,189
2682,63
267,63
2404,178
1807,178
443,178
1490,178
1080,178
1416,178
1396,178
231,178
1439,178
1238,134
1942,105
797,4
3629,62
812,180
2922,180
577,4
1522,62
2626,108
2190,34
895,134
1316,124
2670,28
1419,55
2103,34
362,172
1113,213
3468,89
3354,192
1568,168
1386,102
339,168
977,42
3036,138
2739,89
2367,209
106,209
345,209
2773,209
3399,209
140,209
2858,209
2758,20
1549,20
3282,20
3046,20
2466,20
2766,20
2384,20
1337,20
928,29
1683,177
2245,29
912,180
2446,29
3046,118
1562,147
2739,181
3076,177
1301,118
630,118
541,29
2730,42
3497,147
3664,23
3320,42
2291,23
751,214
3531,134
526,108
3629,108
3605,108
1058,108
1764,134
2064,72
356,72
2740,72
60,72
3336,90
785,90
2370,147
282,90
2374,147
2686,147
1229,62
238,147
1710,147
2716,90
672,147
790,154
2994,86
60,52
121,192
1939,140
2730,141
1877,52
1307,121
43,86
2852,138
3605,4
3413,79
901,196
790,206
870,112
225,147
611,147
1498,147
815,147
1902,206
2451,42
2241,206
2286,206
1807,16
677,206
2269,206
3051,75
2758,75
3369,42
797,63
1843,206
1972,124
371,112
2367,105
2466,78
3111,168
3036,129
2039,140
3468,2
3491,43
2922,94
420,211
183,55
3501,55
1915,55
1568,91
2466,55
3468,91
1575,91
3400,91
632,55
905,55
1951,91
1902,201
3220,4
901,201
378,201
638,4
2367,188
2739,4
1548,4
1408,201
1028,207
65,207
3159,207
1454,207
2820,207
379,207
3362,207
2355,207
339,62
333,62
3680,62
361,62
116,62
2593,32
1499,90
3358,34
2413,32
2898,34
371,164
3210,32
91,61
1136,75
59,42
2795,16
392,42
3549,4
1809,4
2064,4
565,4
973,4
2475,4
2122,4
2400,4
2881,4
753,4
